#,ƒvƒƒWƒFƒNƒg,ƒgƒ‰ƒbƒJ[,eƒ`ƒPƒbƒg,ƒXƒe[ƒ^ƒX,—Dæ“x,‘è–¼,ì¬Ò,’S“–Ò,XV“ú,ƒJƒeƒSƒŠ,‘ÎÛƒo[ƒWƒ‡ƒ“,ŠJn“ú,Šú“ú,—\’èH”,i’»—¦,ì¬“ú,I—¹“ú,ŠÖ˜A‚·‚éƒ`ƒPƒbƒg,Resolution,Affected version,à–¾
25570,Redmine,Patch,"",New,Normal,unchecked use of params[:query],Jens Kr?mer,"",2017-04-11 06:56,Code cleanup/refactoring,"","","","",0,2017-04-11 06:54,"","","","","Requests to URLs like @/issues?query=12@ result in an application error because @query.rb@ expects @params[:query]@ to be a hash, which it isn't in this case.

I know that there are a more instances in the code base where we assume @params[:foo]@ to be a hash without explicit type checking. This patch does not attempt to address this problem on a global level. For whatever reason it happens to us quite often in this particular place, causing false alerts in server monitoring.

This patch adds an explicit type check to resolve this @params[:query]@ case. As a bonus it makes the following 4 lines where values are taken out of the hash a bit nicer.

In general I think it would be preferably to raise an error of the 4xx class in such cases. Are there any plans to make use of Rails' Strong Parameters feature in the future? I think using these permit / require calls on parameters in controllers would catch such wrong types early and would lead to responses with a more appropriate error code automatically."
25563,Redmine,Defect,"",Closed,Normal,Remove is_binary_data? from String,Dmitry Lisichkin,"",2017-06-10 07:13,Code cleanup/refactoring,3.4.0,"","","",0,2017-04-10 10:34,2017-06-10 07:13,"",Fixed,"","Method is_binary_data? was removed from String class in ruby 1.9.2
https://apidock.com/ruby/v1_9_1_378/String/is_binary_data%3F

Then it was returned to String by redmine in 'rails 3.2' branch (r9475)

It cause problem with ruby-debug-ide gem:
https://github.com/ruby-debug/ruby-debug-ide/blob/ce3dbe0a76e11f34abf60740b7c88b23a1c3b5bf/lib/ruby-debug-ide/xml_printer.rb#L355
Almost all non-ASCII strings in debugger shown as [BinaryData]

I'll prefer remove that method at all but it used by SCM system.
It is a very old code (r5204) and I don't know about it is actual for now days.

But you can just rename that method to something different (see patch)"
25557,Redmine,Patch,"",Closed,Normal,Japanese translation update (r16528),Go MAEDA,"",2017-04-09 06:02,Translations,"","","","",0,2017-04-09 02:26,2017-04-09 06:02,"","","","Translated field_default_assigned_to.
"
25556,Redmine,Patch,"",Closed,Normal,Traditional Chinese translation (to r16526),ChunChang Lo,"",2017-04-08 18:42,Translations,"","","","",0,2017-04-08 17:53,2017-04-08 18:42,"ƒRƒs[Œ³ #25341, ƒRƒs[æ #25664","","","* New
** field_digest
"
25555,Redmine,Defect,"",Closed,Normal,Make api paging limit configurable,George Brooke,"",2017-05-06 16:50,REST API,"","","","",0,2017-04-08 15:06,2017-04-09 02:20,Ÿ‚Ìƒ`ƒPƒbƒg‚Æd•¡ #16069,Duplicate,"","Currently the API is limited to a maximum of 100 items in any one response [1], however on the other hand it is possible to configure the issue export limit.

I would like to be able to raise this number similarly to the export limit as this would allow us to pull info from the UI into our BI (which doesn't handle paging very well) to give us dashboards for management. 

I realise that simply raising the limit is not a very elegant solution, however 100 is very low, and as we can handle displaying many more through the webui it seems like a reasonable work-around.


[1] [[Rest_api#Collection-resources-and-pagination]]"
25528,Redmine,Defect,"",Closed,Normal,installation steps redmine 3.0.4 with IIS and Microsoft sql server?,Amit pardeshi,"",2017-04-05 18:41,"","","","","",0,2017-04-05 18:29,2017-04-05 18:41,"",Invalid,"","Hi,

I am new to redmine and ruby as well. I would like to know if there is any documentation available to install redmine 3.0.4 on ISS and MS SQL SERVER.
"
25526,Redmine,Patch,"",Closed,Normal,Revert API change in spent_hours field in issue#show,Holger Just,Jean-Philippe Lang,2017-05-05 06:37,REST API,3.2.6,"","","",0,2017-04-05 15:29,2017-04-05 18:10,ŠÖ˜A‚µ‚Ä‚¢‚é #20661,"","","When preloading the @spent_hours@ of issues (as e.g. done for #20661, they default to @0@ instead of the previous default @0.0@. This results in a change of the @issue#show@ API which now also returns an Integer instead of a Float. Previously (in Redmine 3.2), the API used to return the data the following way:

<pre><code class=""json"">
{
  ""issue"": {
    ""id"": 15,
    ...
    ""spent_hours"": 0.0,
    ...
  }
}
</code></pre>

While later versions (including the current trunk) return them as follows:

<pre><code class=""json"">
{
  ""issue"": {
    ""id"": 15,
    ...
    ""spent_hours"": 0,
    ...
  }
}
</code></pre>

This appears to break strict API clients which expect a float there. In our tests, this change appears to break the current Android version of RedminePM, probably due to some internal type exceptions. The attached patch was extracted from ""Planio"":https://plan.io/redmine-hosting and fixes this behavior. With it, we follow the previous behavior of always sending Floats.

"
25518,Redmine,Patch,"",Closed,Normal,Bulgarian translation,Ivan Cenov,"",2017-04-05 18:52,Translations,"","","","",0,2017-04-05 07:14,2017-04-05 18:52,"","","","Translated
* field_digest
* label_last_notes"
25507,Redmine,Patch,"",Closed,Normal,Japanese translation update (r16457),Go MAEDA,"",2017-04-05 15:38,Translations,"","","","",0,2017-04-04 03:36,2017-04-05 15:38,"","","","Translated field_digest.
"
25506,Redmine,Defect,"",Closed,Normal,Log,Alejandro  Sanchez,"",2017-04-04 15:36,"","","","","",0,2017-04-03 21:48,2017-04-04 15:36,"",Invalid,"",""
25505,Redmine,Patch,"",Closed,Normal,Russian translation for 3.2-stable,Toshi MARUYAMA,"",2017-04-03 18:47,Translations,3.2.6,"","","",0,2017-04-03 18:26,2017-04-03 18:47,"","","","From #25349.

<pre><code class=""diff"">
=== (+2,-3) config/locales/ru.yml ===
@@ -1283,5 +1283,4 @@
   label_any_open_issues: „|„„q„„u „€„„„{„‚„„„„„u „x„p„t„p„‰„y
   label_no_open_issues: „~„u„„ „€„„„{„‚„„„„„‡ „x„p„t„p„‰
   label_default_values_for_new_users: „H„~„p„‰„u„~„y„‘ „„€ „…„}„€„|„‰„p„~„y„ „t„|„‘ „~„€„r„„‡ „„€„|„„x„€„r„p„„„u„|„u„z
-  error_cannot_reassign_time_entries_to_an_issue_about_to_be_deleted: Spent time cannot
-    be reassigned to an issue that is about to be deleted
+  error_cannot_reassign_time_entries_to_an_issue_about_to_be_deleted: „H„p„„„‚„p„‰„u„~„~„€„u „r„‚„u„}„‘ „~„u „}„€„w„u„„ „q„„„„ „„u„‚„u„~„p„x„~„p„‰„u„~„€ „~„p „x„p„t„p„‰„…, „{„€„„„€„‚„p„‘ „q„…„t„u„„ „…„t„p„|„u„~„p
</code></pre>"
25502,Redmine,Patch,"",Closed,Normal,Russian translation for 3.3-stable,Toshi MARUYAMA,"",2017-04-03 16:40,Translations,3.3.3,"","","",0,2017-04-03 16:30,2017-04-03 16:40,"","","","From #25397.

<pre><code class=""diff"">
=== (+2,-3) config/locales/ru.yml ===
@@ -1308,7 +1308,6 @@
   label_new_project_issue_tab_enabled: „O„„„€„q„‚„p„w„p„„„ „r„{„|„p„t„{„… ""„N„€„r„p„‘ „x„p„t„p„‰„p""
   setting_new_item_menu_tab: „B„{„|„p„t„{„p „}„u„~„ „„‚„€„u„{„„„p „t„|„‘ „ƒ„€„x„t„p„~„y„‘ „~„€„r„„‡ „€„q„Œ„u„{„„„€„r
   label_new_object_tab_enabled: „O„„„€„q„‚„p„w„p„„„ „r„„„p„t„p„„‹„y„z „ƒ„„y„ƒ„€„{ ""+""
-  error_no_projects_with_tracker_allowed_for_new_issue: There are no projects with trackers
-    for which you can create an issue
+  error_no_projects_with_tracker_allowed_for_new_issue: „O„„„ƒ„…„„„ƒ„„„r„…„„„ „„‚„€„u„{„„„, „„€ „„„‚„u„{„u„‚„p„} „{„€„„„€„‚„„‡ „r„ „}„€„w„u„„„u „ƒ„€„x„t„p„r„p„„„ „x„p„t„p„‰„y
   error_cannot_reassign_time_entries_to_an_issue_about_to_be_deleted: Spent time cannot
     be reassigned to an issue that is about to be deleted
</code></pre>"
25501,Redmine,Defect,"",Closed,Normal,Time entries query through multiple projects by issue custom field not possible anymore.,Felix Sch?fer,Jean-Philippe Lang,2017-04-06 19:11,Custom fields,3.3.3,"","","",0,2017-04-03 14:41,2017-04-06 19:11,"ŠÖ˜A‚µ‚Ä‚¢‚é #24014, ŠÖ˜A‚µ‚Ä‚¢‚é #1662",Fixed,3.3.1,"This is related to #24014

Since r15890 / #24014 it is not possible to filter time entries from different projects by an issue custom field anymore.

Sometimes it might be necessary to for example show all time entries logged against issues with a certain custom field set to some value, regardless of what project the time entry and issue are in. If one subproject is not a subproject of the other, this is not possible anymore in one query.

I can understand the concern raised in #24014, but I think restricting the global query to only issue custom fields that are ""for all projects"" is too restrictive. I can understand that there might be many issue custom fields, but those should only be restricted on the project time entry query, not on the global time entry query.

While researching for this I have also noticed that an issue custom field defined in a subproject will not be available anymore in the time entry query of the parent project unless the parent project also has this issue custom field defined.

I propose to show all issue custom fields (maybe limited to those active on active projects?) on the global time entry query and to show only the issue custom fields active in the current project and its subprojects on the project time entry query.

(Please note that the same problem exists on the global issue query and that it could be solved the same way)"
25495,Redmine,Patch,"",Closed,Low,spelling fixes,ka seven,"",2017-04-02 13:03,Code cleanup/refactoring,"","","","",0,2017-04-01 22:09,2017-04-02 05:36,"","","","patch contains some spelling fixes ( just in comments ) as found by a bot ( https://github.com/ka7/misspell_fixer ).
see also http://www.misfix.org
Also, any upcoming License changes (e.g. GPL2 to GPL3+) are hereby granted.

base for the diff was @adce697 on github.com"
25491,Redmine,Patch,"",Needs feedback,Normal,List of role members,David C?t?-Tremblay,"",2017-06-02 09:46,UI,"","","","",0,2017-03-31 23:12,"","","","","This simple patch provides a list of all members of a role grouped by projects.

Tested and working with Redmine 3.2 & 3.3"
25489,Redmine,Defect,"",New,Normal,Redmine::UiTest::IssuesTest fails,Alisa M,"",2017-03-31 14:37,"","","","","",0,2017-03-31 14:27,"","","","","test/ui/issues_test_ui.rb 

  1) Failure:
Redmine::UiTest::IssuesTest#test_default_start_date_proposed_in_date_picker [test/ui/issues_test_ui.rb:181]:
Expected: ""2012-04-01""
  Actual: ""2017-03-30""


  2) Failure:
Redmine::UiTest::IssuesTest#test_default_due_date_proposed_in_date_picker [test/ui/issues_test_ui.rb:162]:
Expected: ""2027-04-01""
  Actual: ""2017-03-30""
"
25486,Redmine,Defect,"",Needs feedback,Normal,Repository history is not updating,Maxim Kru?ina,"",2017-11-08 10:34,SCM,"","","","",0,2017-03-31 11:56,"","","",3.3.1,"Hi, on just one project we have something wrong.
When I go Git repo overview: https://ourredmine/projects/ourproject/repository I see al the changes (like file XY modified 2 hours ago etc.)
When I click on revisions: https://ourredmine/projects/ourproject/repository/revisions i see last revision somewhere in 2016
Also, when we push to repository something with comment referencing the ticket, it's not parsed and commit is not showing on the ticket's page.
Other projects with git repos are working just great.

Any clue? Thanx!
"
25483,Redmine,Patch,"",Closed,Normal,Forbid to edit/update/delete the anonymous user,Holger Just,Jean-Philippe Lang,2017-04-03 17:44,Accounts / authentication,3.4.0,"","","",0,2017-03-30 15:20,2017-04-03 15:06,"","","","Right now, an admin can (in principal) edit and even delete the Anonymous user via the UserController since it doesn't restrict its query to logged users. This should not be possible and doesn't seem to be intended from the surrounding code:

* When showing the edit form for the anonymous user, a template error occurs in @app/views/users/_general.html.erb@.
* When deleting the anonynmous user, all its objects will be assigned to itself and the user gets deleted. While it will be automatically recreated on next access, all its issues, journals, ... will have dangling @user_ids@ pointing to the old anonymous user.

The attached patch restricts edit/update/delete of users to logged users. Displaying the user page of Anonymous is still supported. The Patch was extracted from ""Planio"":https://plan.io/redmine-hosting."
25478,Redmine,Defect,"",Closed,Normal,"Related to ""no open issues"" shows all issues",Kevin Fischer,Jean-Philippe Lang,2017-04-08 09:39,Issues filter,3.2.6,"","","",0,2017-03-30 12:09,2017-04-08 09:39,"",Fixed,3.3.2,"When filtering for issues that are related (bi-directional relationship) to ""No open issues"", all issues and not just the ones related to none or closed issues are shown."
25473,Redmine,Defect,"",New,Normal,"""Message XYZ can not be processed"" is the only error message logged when an incoming email fails to scrape due to confusion over the associated issue id",Library Systems Dept,"",2017-07-27 14:04,Email receiving,"","","","",0,2017-03-30 01:08,"","","","","First of all, thanks for Redmine. It's been infinitely helpful as a replacement ticketing system for an older desktop application based system we used years ago. Additionally, the integrated wiki support is one of many reasons it is so popular with our team.

h4. Problem

An email was sent in with a pattern like this:

  [CCDC #123456] RE: 2017 Renewal

and Redmine proceeded to scrape it. It evidently found the @#123456@ pattern and based on this log message:

<pre>
  ^[[1m^[[36mIssue Load (0.6ms)^[[0m  ^[[1mSELECT  `issues`.* FROM `issues` WHERE `issues`.`id` = 104351 LIMIT 1^[[0m
</pre>

the scraping process attempted to match the new email against an existing ticket. There isn't a ticket number 104351 in our system, so presumably the attempt to find and eventually update the existing ticket failed and the scraping process abandoned the attempt. This resulted in the email being moved to the folder we specified for rejected emails.

When we checked the @development.log@ file (we have our @RAILS_ENV@ set to @develoment@ when the scraping script runs), this was the only related error message that we found:

<pre>
Message XYZ can not be processed
</pre>

h4. Our Redmine installation details

@redmine@server01:/opt/redmine$ bin/about@
<pre>
/var/lib/gems/2.3.0/gems/htmlentities-4.3.1/lib/htmlentities/mappings/expanded.rb:465: warning: key ""inodot"" is duplicated and overwritten on line 466

sh: 1: darcs: not found
sh: 1: hg: not found
sh: 1: cvs: not found
sh: 1: bzr: not found
sh: 1: git: not found
Environment:
  Redmine version                3.3.2.stable.16201
  Ruby version                   2.3.1-p112 (2016-04-26) [x86_64-linux-gnu]
  Rails version                  4.2.7.1
  Environment                    production
  Database adapter               Mysql2
SCM:
  Subversion                     1.9.3
  Filesystem
Redmine plugins:
  no plugin installed
</pre>

Please let me know if you need any more information.

h4. Requests

* Can the verbosity of the error message be increased? It would be great if it mentioned something regarding being unable to find an existing ticket to update.

* Can we disable or override the behavior when a match isn't found? It may be useful to allow a new ticket to be created (what we wanted here) if Redmine cannot locate an existing ticket.

"
25470,Redmine,Defect,"",Closed,Normal,Fix Japanese mistranslation for field_base_dn,Go MAEDA,"",2017-04-03 16:40,Translations,3.4.0,"","","",0,2017-03-29 15:25,2017-04-03 16:40,"",Fixed,3.2.5,"The current translation ""ŒŸõ”ÍˆÍ"" should be changed to ""ƒx[ƒXDN"".

We usually use ""ƒx[ƒXDN"". ""ƒx[ƒX"" is transliteration of ""base"". Here are some examples (please search ""ƒx[ƒX DN"" or ""ƒx[ƒXDN"" in the following pages):

* https://technet.microsoft.com/ja-jp/library/cc731530(v=ws.11).aspx
* http://www.ibm.com/support/knowledgecenter/ja/SSGRP3_2.0.0/doc/iwd/ldap_setparam_mad.html
* http://software.fujitsu.com/jp/manual/manualfiles/M060056/B1WN6231/01Z202/secur05/secur160.htm

The current translation ""ŒŸõ”ÍˆÍ"" means ""search scope"". It does not make sense in this context.


<pre><code class=""diff"">
Index: config/locales/ja.yml
===================================================================
--- config/locales/ja.yml	(revision 16444)
+++ config/locales/ja.yml	(working copy)
@@ -290,7 +290,7 @@
   field_host: ƒzƒXƒg
   field_port: ƒ|[ƒg
   field_account: ƒAƒJƒEƒ“ƒg
-  field_base_dn: ŒŸõ”ÍˆÍ
+  field_base_dn: ƒx[ƒXDN
   field_attr_login: ƒƒOƒCƒ“–¼‘®«
   field_attr_firstname: –¼‘O‘®«
   field_attr_lastname: •cš‘®«
</code></pre>"
25468,Redmine,Defect,"",Closed,Normal,Reopening a closed issue,Erik O,"",2017-03-29 14:59,Issues,"","","","",0,2017-03-29 14:39,2017-03-29 14:58,"",Invalid,3.3.2,"Hello,

When an issue is closed and I later wish to reopen it; the priority field is not visible and not possible to edit.
Is this a bug or a feature or am I missing something? :-)

Regards,
Erik"
25460,Redmine,Defect,"",Closed,Normal,Redmine 3.3.2 db:migrate terminate with cryptic error message,Ruben Kelevra,"",2017-03-29 08:27,"","","","","",0,2017-03-29 08:12,2017-03-29 08:16,ŠÖ˜A‚µ‚Ä‚¢‚é #25048,Invalid,3.3.2,"I tried to update my Redmine installation to 3.3.2 but the db:migrate does not go thru:

<pre>
/usr/lib/ruby/gems/2.4.0/gems/htmlentities-4.3.1/lib/htmlentities/mappings/expanded.rb:465: warning: key ""inodot"" is duplicated and overwritten on line 466
/usr/lib/ruby/gems/2.4.0/gems/activesupport-4.2.7.1/lib/active_support/core_ext/numeric/conversions.rb:121: warning: constant ::Fixnum is deprecated
/usr/lib/ruby/gems/2.4.0/gems/activesupport-4.2.7.1/lib/active_support/core_ext/numeric/conversions.rb:121: warning: constant ::Bignum is deprecated
rake aborted!
SystemStackError: stack level too deep
/usr/share/webapps/redmine/config/environment.rb:14:in `<top (required)>'
/usr/bin/bundle:22:in `load'
/usr/bin/bundle:22:in `<main>'
Tasks: TOP => db:migrate => environment
(See full trace by running task with --trace)
</pre>"
